# ipa-en.tsv —— 由 scripts/build-ipa.ts 生成，可手工修正
# 数据源：open-dict-data/ipa-dict en_US（MIT）
# 只收能归约成单个词的条目，多词语块靠页面上的 TTS 朗读
# 格式：<词条><TAB><音标>，词条须与 _src.psv 第 3 列完全一致
compensation	/ˌkɑmpənˈseɪʃən/
compatible / compatibility	/kəmˈpætəbəɫ/ / /kəmˌpætəˈbɪɫəˌti/
charger / adapter	/ˈtʃɑɹdʒɝ/ / /əˈdæptɝ/
bandwidth	/ˈbændwɪdθ/
username / credentials	/ˈjuzɝˌneɪm/ / /kɹəˈdɛnʃəɫz/
consent	/kənˈsɛnt/
encryption	/ɛnˈkɹɪpʃən/
surveillance	/sɝˈveɪɫəns/
algorithm	/ˈæɫɡɝˌɪðəm/
headline	/ˈhɛdˌɫaɪn/
clickbait	/ˈkɫɪkˌbeɪt/
displace / displacement	/dɪsˈpɫeɪs/ / /dɪsˈpɫeɪsmənt/
productivity	/ˌpɹoʊdəkˈtɪvəti/
paperless	/ˈpeɪpɝɫəs/
reusable	/ɹiˈuzəbəɫ/
disposable	/dɪˈspoʊzəbəɫ/
biodegradable	/ˌbaɪoʊdəˈɡɹeɪdəbəɫ/
rebate	/ˈɹiˌbeɪt/
offset	/ˈɔfˌsɛt/
drought	/ˈdɹaʊt/
watershed	/ˈwɑtɝˌʃɛd/
deforestation	/dɪˌfɔɹɪˈsteɪʃən/
biodiversity	/ˌbaɪoʊdaɪˈvɝsəti/
grassroots	/ˈɡɹæsˈɹuts/
stewardship	/ˈstuɝdˌʃɪp/
equity	/ˈɛkwəti/
constituency	/kənˈstɪtʃuənsi/
dietitian	/ˌdaɪəˈtɪʃən/
